College Code,College Name,Seat Type,AD-Artificial Intelligence & Data Science,"AE-Aeronautical Engineering","AG-Agriculture Engineering",AI-Artificial Intelligence & Machine Learning,,"AL-Agricultural Engineering",,,"AR-Automation & Robotics Engineering",,,AS-Aerospace Engineering,,,
E062,"Jain College of Engineering-T.S Nagar, Belagavi",GM,,,,,,,,,,,,,,,
E063,"Jnana Vikas Institute of Technology-Bidadi, Ramnagar Taluk, Bengaluru Rural",GM,,,,,,,,,,,,,,,
E064,"Jain College of Engineering and Research-Udyambag, Belagavi",GM,,,,,,,,,,,,,,,
E065,"KLE Technological University Formerly called as KLE Dr. M.S. Sheshgiri College of
Engineering and Technology-Udyambag, Belagavi",GM,,,,,,,,,,,,,,,
E066,"KLE College of Engineering and Technology-Chikodi Dist., Belagavi",GM,82886,,,,,,,,,,,,,,
E067,"K.S School of Engineering And Management-Off Kanakapura Road, Bengaluru",GM,,,,,,,,,,,,,,,
E068,"K.S. Institute of Technology-Kanakapura Main Road, Bengalur",GM,,,,,,,,,,,,,,,
E069,"KVG College Of Engineering-Sullia, Dakshina Kannada",GM,,,,,,,,,,,,,,,
E070,"Kalpataru Institute of Technology-B H Road, Tiptur",GM,,,,,,,,,,,,,,,
E071,"Karavali Institute of Technology-Kottara, Mangaluru",GM,,,,,,,,,,,,,,,
E072,"K L E Institute of Technology-Gokul, Hubbali",GM,,,,,,,,,,,,,,,
E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,,74541,,,,,,,,,,,,,
E074,"KLS Vishwanathrao Deshpande Institute of Technology-Dandeli Road, Haliyal",GM,,,,,,,,,,,,,,,
E075,"KNS Institute of Technology-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E076,"M.S. Engineering College-Sadahalli, Bengaluru",GM,,,,,,,,,,,,,,,
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,3864,,,3721,,,,,,,,18962,,,
E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,,,,,,,,,,,,,,,
E079,"Malnad College of Engineering-Rangoli Halla, Hassan",GM,,,,,,,,,,,,,,,
E080,"Mangalore Institute of Technology and Engineering-Moodbidri, Mangalur",GM,,,,,,,,,,,,,,,
E081,"Moodalakatte Institute of Technology-Moodalakatte, Udupi",GM,,,,,,,,,,,,,,,
E082,"Maharaja Institute of Technology-Thandavapura, Mysuru",GM,,,,,,,,,,,,,,,
E083,"Mysuru Royal Institute of Technology-Palahallli, Mandya District",GM,,,,,,,,,,,,,,,
E084,"Nagarjuna College of Engineering And Technology-Devanahalli, Bengalur",GM,,,,,,,,,,,,,,,
E085,"The National Institute of Engineering North Campus-Koorgalli, Mysuru",GM,,,,,,,,,,,,,,,
E086,"Nitte Meenakshi Institute of Technology-Yelahanka, Bengaluru",GM,20333,81030,,19377,,,,,,,,,,,
E088,"Navodaya Institute of Technology-Bijangera, Raichur",GM,,,,,,,,,,,,,,,
E089,"P.E.S.College of Engineering-PES College Road, Mandya",GM,,,,,,,,,,,,,,,
E090,"PES Institute of Technology and Management-Kotegangoor Cost, Shivamogga",GM,,,,101078,,,,,,,,,,,
E094,"Proudhadevaraya Institute of Technology-TB Dam Road, Hosapete",GM,,,,,,,,,,,,,,,
E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,,,,,,,,,,,,5092,,,
E096,"R.L. Jalappa Institute of Technology-Kodigehalli, Doddaballapu",GM,,,,,,,,,,,,,,,
E097,"R.R. Institute of Technology-Chikkabanavara, Bengaluru",GM,,,,,,,,,,,,,,,
E098,"R T E Societys Rural Engineering College-Hulkoti, Gadag",GM,,,,,,,,,,,,,,,
E099,"Raja Rajeswari College of Engineering-Kumbalgodu, Bengaluru",GM,,,,,,,,,,,,,,,
E100,"Rajeev Institute of Technology-BM Bypass Road, Hassa",GM,,,,,,,,,,,,,,,
E101,"Rajiv Gandhi Institute of Technology-R T Nagar Post, Bengaluru",GM,,,,,,,,,,,,,,,
E102,"Rao Bahadur Y Mahabaleswarappa Engineering College-Cantonment, Ballari",GM,,,,,,,,,,,,,,,
E104,"RNS Institute of Technology-R R Nagar Post, Bengaluru",GM,,,,,,,,,,,,,,,
E105,"Bheemanna Khandre Institute of Technology-Bhalki, Bida",GM,,,,,,,,,,,,,,,
E107,"SJB Institute of Technology-Kengeri, Bengaluru",GM,,,,62782,,,,,,,,,,,
E108,"S J C Institute of Technology-BB Road, Chikkaballapur",GM,,,,,,,,,,,,,,,
E109,"S.E.A. College of Engineering and Technology-K R Puram, Bengaluru",GM,,,,,,,,,,,,,,,
E110,"SSETs S.G. Balekundri Institute of Technology-Shivabasva Nagar, Belagavi",GM,,,,,,,,,,,,,,,
E112,"Sahyadri College of Engineering and Management-Adyar, Mangaluru",GM,,,,,,,,,,,,,,,
E113,"Sai Vidya Institute of Technology-Rajan Kunte, Bengaluru",GM,,,,,,,,,,,,,,,
E114,"Sambhram Institute of Technology-Jalahalli East, Bengaluru",GM,,,,,,,,,,,,,,,
E116,"Sapthagiri NPS University-Hesarghatta Main Road, Bengalur",GM,,,,,,,,,,,,,,,
E117,"SDM College of Engineering and Technology, Tulu Minority-Kalaghatagi, Dharwad",GM,,,,62180,,,,,,,,,,,
E118,"SDM Institute of Technology, Tulu Minority-Ujjire, Dakshina Kannada",GM,,,,,,,,,,,,,,,
E119,"SECAB Institute of Engineering andTechnology-Nauraspur-Bagalkot Road, Vijayapura",GM,,,,,,,,,,,,,,,
E121,"Sri Sairam College of Engineering-Anekal, Bengaluru",GM,,,,,,,,,,,,,,,
E122,"Shree Devi Institute of Technology-Kenjar, Mangaluru",GM,,,,,,,,,,,,,,,
E123,"Shri Madhwa Vadiraja Institute of Technology and Management-Bantakal, Udupi",GM,,,,,,,,,,,,,,,
E124,"Shridevi Institute of Engineering and Technology-Sira Road, Tumakuru",GM,,,,,,,,,,,,,,,
E125,"Siddaganga Institute of Technology-B H Road, Tumakuru",GM,20614,,,,,,,,,,,,,,
E126,"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",GM,,,,29198,,,,,,,,,,,
E127,"SJM Institute of Technology-NH 4 Bye-pass, Chitradurga",GM,,,,,,,,,,,,,,,
E128,"Smt. Kamala and Sri Venkappa M. Agadi College of Engineering and Technology
Laxmeswar  Gadag",GM,,,,,,,,,,,,,,,
E132,"Sri Krishna Institute of Technology-Chikkabanavara, Bengalur",GM,,,,,,,,,,,,,,,
E136,"Sri Taralabalu Jagadguru Institute of Technology-Haveri Dist., Ranebennu",GM,,,,,,,,,,,,,,,
E137,"Sri Venkateshwara College of Engineering-KIAL Road, Bengaluru",GM,,,,,,,,,,,,,,,
E138,"Srinivas Institute of Technology-Hampankatta, Mangaluru",GM,,,,,,,,,,,,,,,
E141,"T. John Institute of Technology-Bannerghatta Road, Bengalur",GM,,,,,,,,,,,,,,,
E142,"The National Institute of Engineering South Campus-Mananthavady Road, Mysuru",GM,,,,,,,,,,,,,,,
E143,"Tontadarya College of Engineering-Mundaragi Road , Gadag",GM,,,,,,,,,,,,,,,
E144,"Veerappa Nisty Engineering College-Shorapur, Yadgir",GM,,,,,,,,,,,,,,,
E145,"Vemana Institute of Technology-Koramangala, Bengalur",GM,,,,93201,,,,,,,,,,,
E146,"Vidya Vikas Institute of Engineering and Technology-Alnahally, Mysuru",GM,,,,,,,,,,,,,,,
E147,"Vidyavardhaka College of Engineering-Gokulam, Mysuru",GM,,,,,,,,,,,,,,,
E148,"Vivekananda College of Engineering and Technology-Puttur, Dakshin Kannada",GM,,,,,,,,,,,,,,,
E149,"Vivekananda Institute of Technology-Kengeri, Bengaluru",GM,,,,,,,,,,,,,,,
E152,"ATME College of Engineering-Bannur Road, Mysuru",GM,,,,,,,,,,,,,,,
E156,"Jyothy Institute of Technology-Tathguni, Bengaluru",GM,,,,43320,,,,,,,,,,,
E158,"Shetty Institute of Technology - Gulbarga Shahabad Road, Kalaburagi",GM,,,,,,,,,,,,,,,
E159,"Lingaraj Appa Engineering-Gornalli, Bida",GM,,,,,,,,,,,,,,,
E161,"Cambridge Institute of Technology North Campus-Kundana, Bengaluru",GM,,,,,,,,,,,,,,,
E164,"Reva University-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E165,"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru",GM,,,,55784,,,,,,,,73084,,,
E171,"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",GM,,,,,,,,,,,,,,,
E172,"Mysore College of Engineering and Management-Chikkahalli, Mysuru",GM,,,,,,,,,,,,,,,
E173,"Presidency University-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E183,"Jain Institute of Technology-Avaragere Village, Davangere",GM,,,,,,,,,,,,,,,
