College Code,College Name,Seat Category,AD-Artificial Intelligence & Data Science,AE-Aeronautical Engineering,,AG-Agriculture Engineering,,AI-Artificial Intelligence & Machine Learning,,AL-Agricultural Engineering,,AR-Automation & Robotics Engineering,,AS-Aerospace Engineering,AU-Automobile Engineering,,
E037,"City Engineering College-Doddakalasandra, Bengaluru",GM,,,,,,100898,,,,,,,,,
E037,"City Engineering College-Doddakalasandra, Bengaluru",KKR,,,,,,,,,,,,,,,
E038,"Coorg Institute of Technology-Ponnampet, South Kodagu",GM,93001,,,,,99599,,,,,,,,,
E038,"Coorg Institute of Technology-Ponnampet, South Kodagu",KKR,,,,,,,,,,,,,,,
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",GM,,,,,,11559,,,,,,,,,
E039,"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",KKR,,,,,,26150,,,,,,,,,
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,,11204,,,,2873,,,,,,,18643,,
E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",KKR,,33322,,,,12412,,,,,,,81479,,
E041,"DON BOSCO Institute of Technology-Kumbalgodu, Bengaluru",GM,32283,,,,,,,,,,,,,,
E041,"DON BOSCO Institute of Technology-Kumbalgodu, Bengaluru",KKR,58013,,,,,,,,,,,,,,
E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",GM,,29563,,,,16030,,,,,,,,,
E042,"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",KKR,,62399,,,,40129,,,,,,,,,
E043,"Yenepoya Institute of Technology formerly known as Dr. M V Shetty Institute of Technology-Moodbidri, Mangaluru",GM,,,,,,73590,,,,,,,,,
E043,"Yenepoya Institute of Technology formerly known as Dr. M V Shetty Institute of Technology-Moodbidri, Mangaluru",KKR,,,,,,,,,,,,,,,
E044,"Dr.Shri Shri Shivakumara Mahaswamy College of Engineering-Nelamangala, Bengaluru Rural",GM,,,,,,,,,,,,,,,
E044,"Dr.Shri Shri Shivakumara Mahaswamy College of Engineering-Nelamangala, Bengaluru Rural",KKR,,,,,,,,,,,,,,,
E045,"Dr H N National College Of Engineering-Jayanagar, Bengaluru",GM,86756,,,,,,,,,,,,,,
E045,"Dr H N National College Of Engineering-Jayanagar, Bengaluru",KKR,,,,,,,,,,,,,,,
E046,"East Point College of Engineering and Technology-Avalahalli, Bengaluru",GM,45902,,,,,,,,,,,,,,
E046,"East Point College of Engineering and Technology-Avalahalli, Bengaluru",KKR,,,,,,,,,,,,,,,
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,65318,,,,,71905,,,,,,,,,
E048,"East West Institute of Technology-BEL Layout, Bengaluru",KKR,,,,,,,,,,,,,,,
E049,"Garden City University-Old Madras Road, Bengaluru",GM,,,,,,,,,,,,,,,
E049,"Garden City University-Old Madras Road, Bengaluru",KKR,,,,,,,,,,,,,,,
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,33151,58796,,,,30546,,,,,,,,,
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",KKR,65720,,,,,57298,,,,,,,,,
E051,"GM Institute of Technology-P B Road, Davangere",GM,,,,,,92229,,,,,,,,,
E051,"GM Institute of Technology-P B Road, Davangere",KKR,,,,,,,,,,,,,,,
E053,"Gopalan College of Engineering And Management-Whitefield, Bengaluru",GM,,62220,,,,,,,,,,,,,
E053,"Gopalan College of Engineering And Management-Whitefield, Bengaluru",KKR,,,,,,,,,,,,,,,
E055,"GSSS Institute of Engineering and Technology for Women-Metagalli, Mysuru",GM,40725,,,,,,,,,,,,,,
E055,"GSSS Institute of Engineering and Technology for Women-Metagalli, Mysuru",KKR,63523,,,,,,,,,,,,,,
E056,"H.K.E.Societys P.D.A. College of Engineering-Aiwan E Shahi area, Kalaburgi",GM,,,,,,100711,,,,,,,,,
E056,"H.K.E.Societys P.D.A. College of Engineering-Aiwan E Shahi area, Kalaburgi",KKR,,,,,,,,,,,,,,,
E058,"Sri Jayachamarajendra College of Engineering constituent college of JSS Science and Technology University-Manasagangothri, Mysuru",GM,,,,,,,,,,,,,,,
E058,"Sri Jayachamarajendra College of Engineering constituent college of JSS Science and Technology
University-Manasagangothri, Mysuru",KKR,,,,,,,,,,,,,,,
E059,"Jawaharlal Nehru New College of Engineering JNNCE-Swalanga Road, Shivamogga",GM,,,,,,50038,,,,,,,,,
E059,"Jawaharlal Nehru New College of Engineering JNNCE-Swalanga Road, Shivamogga",KKR,,,,,,,,,,,,,,,
E060,"JSS Academy of Technical Education-Kengeri Main Road, Bengaluru",GM,,,,,,,,,,,,,,,
E060,"JSS Academy of Technical Education-Kengeri Main Road, Bengaluru",KKR,,,,,,,,,,,,,,,
E061,JSS Science and Technology University-Mysuru,GM,,,,,,,,,,,,,,,
E061,JSS Science and Technology University-Mysuru,KKR,,,,,,,,,,,,,,,
E062,"Jain College of Engineering-T.S Nagar, Belagavi",GM,,,,,,,,,,,,,,,
E062,"Jain College of Engineering-T.S Nagar, Belagavi",KKR,,,,,,,,,,,,,,,
